sender_age_group,sender_state,transaction_type,merchant_category,total_transactions,total_value,avg_transaction_value,fraud_count
18-25,gujarat,p2m,utilities,159,261167,1642.56,0
18-25,gujarat,p2p,education,59,163727,2775.03,1
18-25,gujarat,p2p,entertainment,178,88054,494.69,1
18-25,gujarat,p2p,food,340,169572,498.74,2
18-25,gujarat,p2p,fuel,244,319899,1311.06,1
18-25,gujarat,p2p,grocery,461,443815,962.72,0
18-25,gujarat,p2p,healthcare,118,36758,311.51,0
18-25,gujarat,p2p,other,203,183952,906.17,1
18-25,gujarat,p2p,shopping,278,758633,2728.9,0
18-25,gujarat,p2p,transport,165,65651,397.88,2
18-25,gujarat,p2p,utilities,195,314557,1613.11,2
18-25,gujarat,recharge,education,12,60661,5055.08,0
18-25,gujarat,recharge,entertainment,13,7980,613.85,0
18-25,gujarat,recharge,food,41,21482,523.95,0
18-25,gujarat,recharge,fuel,23,40407,1756.83,0
18-25,gujarat,recharge,grocery,61,79593,1304.8,0
18-25,gujarat,recharge,healthcare,13,4001,307.77,0
18-25,gujarat,recharge,other,30,26418,880.6,0
18-25,gujarat,recharge,shopping,31,82442,2659.42,0
18-25,gujarat,recharge,transport,18,6357,353.17,0
18-25,gujarat,recharge,utilities,24,35256,1469.0,0
18-25,karnataka,bill payment,education,36,127844,3551.22,0
18-25,karnataka,bill payment,entertainment,83,43025,518.37,1
18-25,karnataka,bill payment,food,161,96230,597.7,0
18-25,karnataka,bill payment,fuel,98,130511,1331.74,0
18-25,karnataka,bill payment,grocery,222,208448,938.95,2
18-25,karnataka,bill payment,healthcare,57,18684,327.79,0
18-25,karnataka,bill payment,other,114,97841,858.25,0
18-25,karnataka,bill payment,shopping,135,384654,2849.29,2
18-25,karnataka,bill payment,transport,95,28620,301.26,0
18-25,karnataka,bill payment,utilities,86,117637,1367.87,0
18-25,karnataka,p2m,education,89,271154,3046.67,0
18-25,karnataka,p2m,entertainment,190,98217,516.93,1
18-25,karnataka,p2m,food,413,239054,578.82,3
18-25,karnataka,p2m,fuel,270,372666,1380.24,1
18-25,karnataka,p2m,grocery,517,441573,854.11,2
18-25,karnataka,p2m,healthcare,130,37611,289.32,0
18-25,karnataka,p2m,other,266,233136,876.45,1
18-25,karnataka,p2m,shopping,329,1000570,3041.25,1
18-25,karnataka,p2m,transport,187,56547,302.39,1
18-25,karnataka,p2m,utilities,219,361896,1652.49,0
18-25,karnataka,p2p,education,102,340624,3339.45,1
18-25,karnataka,p2p,entertainment,253,132145,522.31,0
18-25,karnataka,p2p,food,527,296633,562.87,0
18-25,karnataka,p2p,fuel,308,404469,1313.21,0
18-25,karnataka,p2p,grocery,641,632470,986.69,1
18-25,karnataka,p2p,healthcare,160,56381,352.38,0
18-25,karnataka,p2p,other,316,295655,935.62,1
18-25,karnataka,p2p,shopping,414,1261966,3048.23,0
18-25,karnataka,p2p,transport,276,95351,345.47,2
18-25,karnataka,p2p,utilities,287,469976,1637.55,1
18-25,karnataka,recharge,education,11,31889,2899.0,0
18-25,karnataka,recharge,entertainment,22,14023,637.41,0
18-25,karnataka,recharge,food,63,35867,569.32,0
18-25,karnataka,recharge,fuel,35,51271,1464.89,0
18-25,karnataka,recharge,grocery,68,59400,873.53,1
18-25,karnataka,recharge,healthcare,18,6242,346.78,1
18-25,karnataka,recharge,other,32,27585,862.03,0
18-25,karnataka,recharge,shopping,45,123294,2739.87,1
18-25,karnataka,recharge,transport,33,10519,318.76,0
18-25,karnataka,recharge,utilities,36,66589,1849.69,0
18-25,maharashtra,bill payment,education,33,110573,3350.7,0
18-25,maharashtra,bill payment,entertainment,107,48996,457.91,0
18-25,maharashtra,bill payment,food,214,113266,529.28,0
18-25,maharashtra,bill payment,fuel,142,190607,1342.3,0
18-25,maharashtra,bill payment,grocery,284,282654,995.26,0
18-25,maharashtra,bill payment,healthcare,69,21548,312.29,0
18-25,maharashtra,bill payment,other,144,132295,918.72,1
18-25,maharashtra,bill payment,shopping,167,516470,3092.63,0
18-25,maharashtra,bill payment,transport,112,34759,310.35,0
18-25,maharashtra,bill payment,utilities,120,184640,1538.67,1
18-25,maharashtra,p2m,education,94,288793,3072.27,0
18-25,maharashtra,p2m,entertainment,242,120366,497.38,1
18-25,maharashtra,p2m,food,499,279293,559.71,1
18-25,maharashtra,p2m,fuel,335,514396,1535.51,0
18-25,maharashtra,p2m,grocery,648,640965,989.14,2
18-25,maharashtra,p2m,healthcare,145,44522,307.05,1
18-25,maharashtra,p2m,other,317,284134,896.32,0
18-25,maharashtra,p2m,shopping,398,1273991,3200.98,1
18-25,maharashtra,p2m,transport,268,95849,357.65,0
18-25,maharashtra,p2m,utilities,279,435706,1561.67,0
18-25,maharashtra,p2p,education,126,371036,2944.73,1
18-25,maharashtra,p2p,entertainment,348,169443,486.91,4
18-25,maharashtra,p2p,food,658,374312,568.86,2
18-25,maharashtra,p2p,fuel,474,651567,1374.61,2
18-25,maharashtra,p2p,grocery,858,794823,926.37,4
18-25,maharashtra,p2p,healthcare,214,75874,354.55,0
18-25,maharashtra,p2p,other,448,385409,860.29,0
18-25,maharashtra,p2p,shopping,501,1597775,3189.17,0
18-25,maharashtra,p2p,transport,312,104700,335.58,0
18-25,maharashtra,p2p,utilities,385,638570,1658.62,0
18-25,maharashtra,recharge,education,16,45287,2830.44,1
18-25,maharashtra,recharge,entertainment,32,16093,502.91,0
18-25,maharashtra,recharge,food,70,42499,607.13,0
18-25,maharashtra,recharge,fuel,45,69883,1552.96,0
18-25,maharashtra,recharge,grocery,103,98601,957.29,0
18-25,maharashtra,recharge,healthcare,25,8289,331.56,1
18-25,maharashtra,recharge,other,40,32889,822.22,0
18-25,maharashtra,recharge,shopping,68,196398,2888.21,0
18-25,maharashtra,recharge,transport,33,13910,421.52,0
18-25,maharashtra,recharge,utilities,45,63044,1400.98,0
18-25,rajasthan,bill payment,education,16,56714,3544.62,0
18-25,rajasthan,bill payment,entertainment,45,20826,462.8,0
18-25,rajasthan,bill payment,food,103,61902,600.99,0
18-25,rajasthan,bill payment,fuel,52,86547,1664.37,0
18-25,rajasthan,bill payment,grocery,141,129141,915.89,1
18-25,rajasthan,bill payment,healthcare,47,16890,359.36,0
18-25,rajasthan,bill payment,other,49,50709,1034.88,0
18-25,rajasthan,bill payment,shopping,102,329804,3233.37,0
18-25,rajasthan,bill payment,transport,59,16120,273.22,0
18-25,rajasthan,bill payment,utilities,63,114451,1816.68,0
18-25,rajasthan,p2m,education,59,167126,2832.64,0
18-25,rajasthan,p2m,entertainment,138,78505,568.88,0
18-25,rajasthan,p2m,food,252,142220,564.37,2
18-25,rajasthan,p2m,fuel,190,273390,1438.89,0
18-25,rajasthan,p2m,grocery,346,314256,908.25,0
18-25,rajasthan,p2m,healthcare,78,21401,274.37,0
18-25,rajasthan,p2m,other,151,143392,949.62,0
18-25,rajasthan,p2m,shopping,195,592723,3039.61,1
18-25,rajasthan,p2m,transport,160,61173,382.33,1
18-25,rajasthan,p2m,utilities,156,281013,1801.37,0
18-25,rajasthan,p2p,education,66,213190,3230.15,0
18-25,rajasthan,p2p,entertainment,192,94590,492.66,0
18-25,rajasthan,p2p,food,325,189298,582.46,0
18-25,rajasthan,p2p,fuel,224,335819,1499.19,2
18-25,rajasthan,p2p,grocery,436,425999,977.06,1
18-25,rajasthan,p2p,healthcare,126,41722,331.13,0
18-25,rajasthan,p2p,other,210,197237,939.22,0
18-25,rajasthan,p2p,shopping,297,832727,2803.79,3
18-25,rajasthan,p2p,transport,165,57047,345.74,0
18-25,rajasthan,p2p,utilities,182,290433,1595.79,0
18-25,rajasthan,recharge,education,8,18113,2264.12,0
18-25,rajasthan,recharge,entertainment,24,14499,604.12,0
18-25,rajasthan,recharge,food,51,25734,504.59,1
18-25,rajasthan,recharge,fuel,20,26328,1316.4,0
18-25,rajasthan,recharge,grocery,44,39140,889.55,0
18-25,rajasthan,recharge,healthcare,7,2712,387.43,0
18-25,rajasthan,recharge,other,22,17667,803.05,0
18-25,rajasthan,recharge,shopping,30,92996,3099.87,0
18-25,rajasthan,recharge,transport,19,7299,384.16,0
18-25,rajasthan,recharge,utilities,21,39011,1857.67,0
18-25,tamil nadu,bill payment,education,27,82035,3038.33,0
18-25,tamil nadu,bill payment,entertainment,64,30233,472.39,0
18-25,tamil nadu,bill payment,food,170,105148,618.52,0
18-25,tamil nadu,bill payment,fuel,94,130394,1387.17,1
18-25,tamil nadu,bill payment,grocery,191,189162,990.38,0
18-25,tamil nadu,bill payment,healthcare,52,14435,277.6,0
18-25,tamil nadu,bill payment,other,94,86199,917.01,0
18-25,tamil nadu,bill payment,shopping,119,378945,3184.41,0
18-25,tamil nadu,bill payment,transport,87,22048,253.43,1
18-25,tamil nadu,bill payment,utilities,76,136943,1801.88,0
18-25,tamil nadu,p2m,education,68,211597,3111.72,1
18-25,tamil nadu,p2m,entertainment,183,89156,487.19,0
18-25,tamil nadu,p2m,food,322,176255,547.38,0
18-25,tamil nadu,p2m,fuel,217,297527,1371.09,0
18-25,tamil nadu,p2m,grocery,445,444505,998.89,0
18-25,tamil nadu,p2m,healthcare,103,37262,361.77,1
18-25,tamil nadu,p2m,other,251,229407,913.97,0
18-25,tamil nadu,p2m,shopping,246,702604,2856.11,1
18-25,tamil nadu,p2m,transport,167,60928,364.84,1
18-25,tamil nadu,p2m,utilities,168,273715,1629.26,0
18-25,tamil nadu,p2p,education,86,238905,2777.97,0
18-25,tamil nadu,p2p,entertainment,245,119778,488.89,0
18-25,tamil nadu,p2p,food,417,240474,576.68,2
18-25,tamil nadu,p2p,fuel,293,411704,1405.13,1
18-25,tamil nadu,p2p,grocery,590,568268,963.17,2
18-25,tamil nadu,p2p,healthcare,147,50207,341.54,1
18-25,tamil nadu,p2p,other,276,268601,973.19,0
18-25,tamil nadu,p2p,shopping,313,915387,2924.56,0
18-25,tamil nadu,p2p,transport,242,76509,316.15,0
18-25,tamil nadu,p2p,utilities,243,409273,1684.25,0
18-25,tamil nadu,recharge,education,11,31572,2870.18,0
18-25,tamil nadu,recharge,entertainment,16,7596,474.75,0
18-25,tamil nadu,recharge,food,44,24304,552.36,0
18-25,tamil nadu,recharge,fuel,44,62585,1422.39,0
18-25,tamil nadu,recharge,grocery,66,58073,879.89,0
18-25,tamil nadu,recharge,healthcare,14,4626,330.43,0
18-25,tamil nadu,recharge,other,22,29828,1355.82,0
18-25,tamil nadu,recharge,shopping,31,80889,2609.32,0
18-25,tamil nadu,recharge,transport,33,8964,271.64,0
18-25,tamil nadu,recharge,utilities,29,48151,1660.38,0
18-25,telangana,bill payment,education,24,87607,3650.29,0
18-25,telangana,bill payment,entertainment,71,28547,402.07,0
18-25,telangana,bill payment,food,128,83625,653.32,0
18-25,telangana,bill payment,fuel,80,113948,1424.35,0
18-25,telangana,bill payment,grocery,143,129393,904.85,0
18-25,telangana,bill payment,healthcare,36,12075,335.42,0
18-25,telangana,bill payment,other,95,88640,933.05,0
18-25,telangana,bill payment,shopping,116,356631,3074.41,0
18-25,telangana,bill payment,transport,85,32077,377.38,0
18-25,telangana,bill payment,utilities,56,123009,2196.59,0
18-25,telangana,p2m,education,77,293739,3814.79,0
18-25,telangana,p2m,entertainment,165,78569,476.18,1
18-25,telangana,p2m,food,305,174803,573.12,0
18-25,telangana,p2m,fuel,192,261733,1363.19,1
18-25,telangana,p2m,grocery,371,344189,927.73,1
18-25,telangana,p2m,healthcare,110,36956,335.96,0
18-25,telangana,p2m,other,201,181698,903.97,0
18-25,telangana,p2m,shopping,242,702075,2901.14,0
18-25,telangana,p2m,transport,153,52351,342.16,1
18-25,telangana,p2m,utilities,162,269259,1662.09,0
18-25,telangana,p2p,education,81,251684,3107.21,0
18-25,telangana,p2p,entertainment,179,85664,478.57,0
18-25,telangana,p2p,food,354,221911,626.87,1
18-25,telangana,p2p,fuel,252,359870,1428.06,0
18-25,telangana,p2p,grocery,515,506403,983.31,0
18-25,telangana,p2p,healthcare,156,51853,332.39,1
18-25,telangana,p2p,other,263,241684,918.95,0
18-25,telangana,p2p,shopping,313,1005514,3212.5,0
18-25,telangana,p2p,transport,205,65567,319.84,0
18-25,telangana,p2p,utilities,209,325654,1558.15,1
18-25,telangana,recharge,education,7,21940,3134.29,0
18-25,telangana,recharge,entertainment,18,8181,454.5,0
18-25,telangana,recharge,food,40,15737,393.42,0
18-25,telangana,recharge,fuel,32,40714,1272.31,0
18-25,telangana,recharge,grocery,55,45487,827.04,0
18-25,telangana,recharge,healthcare,19,5169,272.05,0
18-25,telangana,recharge,other,29,26178,902.69,0
18-25,telangana,recharge,shopping,27,95582,3540.07,0
18-25,telangana,recharge,transport,26,12390,476.54,0
18-25,telangana,recharge,utilities,21,38974,1855.9,0
18-25,uttar pradesh,bill payment,education,25,61722,2468.88,0
18-25,uttar pradesh,bill payment,entertainment,96,48468,504.88,0
18-25,uttar pradesh,bill payment,food,166,99171,597.42,0
18-25,uttar pradesh,bill payment,fuel,106,147471,1391.24,1
18-25,uttar pradesh,bill payment,grocery,212,191463,903.13,1
18-25,uttar pradesh,bill payment,healthcare,58,23646,407.69,0
18-25,uttar pradesh,bill payment,other,122,107210,878.77,0
18-25,uttar pradesh,bill payment,shopping,134,427747,3192.14,0
18-25,uttar pradesh,bill payment,transport,95,34965,368.05,0
18-25,uttar pradesh,bill payment,utilities,101,181380,1795.84,0
18-25,uttar pradesh,p2m,education,79,261568,3310.99,0
18-25,uttar pradesh,p2m,entertainment,221,112062,507.07,0
18-25,uttar pradesh,p2m,food,434,233158,537.23,1
18-25,uttar pradesh,p2m,fuel,281,372175,1324.47,0
18-25,uttar pradesh,p2m,grocery,528,496141,939.66,0
18-25,uttar pradesh,p2m,healthcare,140,46688,333.49,1
18-25,uttar pradesh,p2m,other,263,249109,947.18,0
18-25,uttar pradesh,p2m,shopping,332,1085228,3268.76,2
18-25,uttar pradesh,p2m,transport,220,77932,354.24,0
18-25,uttar pradesh,p2m,utilities,222,295049,1329.05,0
18-25,uttar pradesh,p2p,education,111,347330,3129.1,0
18-25,uttar pradesh,p2p,entertainment,293,149073,508.78,0
18-25,uttar pradesh,p2p,food,475,271958,572.54,3
18-25,uttar pradesh,p2p,fuel,318,418335,1315.52,0
18-25,uttar pradesh,p2p,grocery,707,661952,936.28,1
18-25,uttar pradesh,p2p,healthcare,164,54696,333.51,0
18-25,uttar pradesh,p2p,other,331,288629,871.99,0
18-25,uttar pradesh,p2p,shopping,415,1281802,3088.68,0
18-25,uttar pradesh,p2p,transport,311,106024,340.91,3
18-25,uttar pradesh,p2p,utilities,300,460816,1536.05,0
18-25,uttar pradesh,recharge,education,11,15345,1395.0,0
18-25,uttar pradesh,recharge,entertainment,37,20865,563.92,0
18-25,uttar pradesh,recharge,food,65,34753,534.66,0
18-25,uttar pradesh,recharge,fuel,39,61824,1585.23,0
18-25,uttar pradesh,recharge,grocery,68,67545,993.31,1
18-25,uttar pradesh,recharge,healthcare,20,8229,411.45,0
18-25,uttar pradesh,recharge,other,34,30121,885.91,0
18-25,uttar pradesh,recharge,shopping,40,124615,3115.38,0
18-25,uttar pradesh,recharge,transport,35,10535,301.0,0
18-25,uttar pradesh,recharge,utilities,49,50884,1038.45,0
18-25,west bengal,bill payment,education,15,46012,3067.47,0
18-25,west bengal,bill payment,entertainment,52,25836,496.85,0
18-25,west bengal,bill payment,food,117,66943,572.16,0
18-25,west bengal,bill payment,fuel,86,123626,1437.51,0
18-25,west bengal,bill payment,grocery,151,146162,967.96,2
18-25,west bengal,bill payment,healthcare,42,13928,331.62,0
18-25,west bengal,bill payment,other,82,95219,1161.21,1
18-25,west bengal,bill payment,shopping,108,321195,2974.03,0
18-25,west bengal,bill payment,transport,57,20467,359.07,0
18-25,west bengal,bill payment,utilities,70,102629,1466.13,0
18-25,west bengal,p2m,education,69,185775,2692.39,0
18-25,west bengal,p2m,entertainment,139,76340,549.21,0
18-25,west bengal,p2m,food,253,138371,546.92,1
18-25,west bengal,p2m,fuel,188,247627,1317.16,0
18-25,west bengal,p2m,grocery,339,315319,930.14,1
18-25,west bengal,p2m,healthcare,107,33980,317.57,0
18-25,west bengal,p2m,other,186,179466,964.87,0
18-25,west bengal,p2m,shopping,184,494069,2685.16,0
18-25,west bengal,p2m,transport,144,47615,330.66,1
18-25,west bengal,p2m,utilities,164,284536,1734.98,0
18-25,west bengal,p2p,education,69,189953,2752.94,0
18-25,west bengal,p2p,entertainment,167,84678,507.05,0
18-25,west bengal,p2p,food,324,182362,562.85,0
18-25,west bengal,p2p,fuel,204,280219,1373.62,0
18-25,west bengal,p2p,grocery,471,445475,945.81,3
18-25,west bengal,p2p,healthcare,94,33568,357.11,0
18-25,west bengal,p2p,other,201,183672,913.79,0
18-25,west bengal,p2p,shopping,241,776154,3220.56,0
18-25,west bengal,p2p,transport,194,62255,320.9,1
18-25,west bengal,p2p,utilities,203,307831,1516.41,0
18-25,west bengal,recharge,education,9,24802,2755.78,0
18-25,west bengal,recharge,entertainment,25,13618,544.72,0
18-25,west bengal,recharge,food,45,24807,551.27,0
18-25,west bengal,recharge,fuel,30,38463,1282.1,0
18-25,west bengal,recharge,grocery,54,54744,1013.78,1
18-25,west bengal,recharge,healthcare,22,7469,339.5,0
18-25,west bengal,recharge,other,16,13264,829.0,0
18-25,west bengal,recharge,shopping,31,105584,3405.94,0
18-25,west bengal,recharge,transport,21,7082,337.24,0
18-25,west bengal,recharge,utilities,20,23722,1186.1,0
26-35,andhra pradesh,bill payment,education,27,131041,4853.37,0
26-35,andhra pradesh,bill payment,entertainment,91,40337,443.26,1
26-35,andhra pradesh,bill payment,food,165,95044,576.02,0
26-35,andhra pradesh,bill payment,fuel,90,146959,1632.88,0
26-35,andhra pradesh,bill payment,grocery,210,232316,1106.27,0
26-35,andhra pradesh,bill payment,healthcare,41,19074,465.22,0
26-35,andhra pradesh,bill payment,other,92,74222,806.76,0
26-35,andhra pradesh,bill payment,shopping,113,282320,2498.41,0
26-35,andhra pradesh,bill payment,transport,84,28885,343.87,0
26-35,andhra pradesh,bill payment,utilities,92,199886,2172.67,0
26-35,andhra pradesh,p2m,education,77,381342,4952.49,0
26-35,andhra pradesh,p2m,entertainment,210,97884,466.11,0
26-35,andhra pradesh,p2m,food,369,192185,520.83,1
26-35,andhra pradesh,p2m,fuel,239,412656,1726.59,0
26-35,andhra pradesh,p2m,grocery,477,551906,1157.04,1
26-35,andhra pradesh,p2m,healthcare,140,64698,462.13,0
26-35,andhra pradesh,p2m,other,220,192924,876.93,0
26-35,andhra pradesh,p2m,shopping,276,842479,3052.46,0
26-35,andhra pradesh,p2m,transport,184,50003,271.76,0
26-35,andhra pradesh,p2m,utilities,207,448379,2166.08,1
26-35,andhra pradesh,p2p,education,86,449902,5231.42,0
26-35,andhra pradesh,p2p,entertainment,259,106177,409.95,0
26-35,andhra pradesh,p2p,food,434,254724,586.92,0
26-35,andhra pradesh,p2p,fuel,336,492891,1466.94,0
26-35,andhra pradesh,p2p,grocery,643,735608,1144.02,0
26-35,andhra pradesh,p2p,healthcare,164,72366,441.26,0
26-35,andhra pradesh,p2p,other,347,293508,845.84,1
26-35,andhra pradesh,p2p,shopping,366,947988,2590.13,1
26-35,andhra pradesh,p2p,transport,255,98432,386.01,0
26-35,andhra pradesh,p2p,utilities,288,602226,2091.06,1
26-35,andhra pradesh,recharge,education,10,93313,9331.3,0
26-35,andhra pradesh,recharge,entertainment,28,12806,457.36,1
26-35,andhra pradesh,recharge,food,56,35229,629.09,0
26-35,andhra pradesh,recharge,fuel,45,63474,1410.53,0
26-35,andhra pradesh,recharge,grocery,93,107379,1154.61,0
26-35,andhra pradesh,recharge,healthcare,23,9725,422.83,0
26-35,andhra pradesh,recharge,other,30,21975,732.5,0
26-35,andhra pradesh,recharge,shopping,35,92984,2656.69,1
26-35,andhra pradesh,recharge,transport,27,6975,258.33,0
26-35,andhra pradesh,recharge,utilities,28,62419,2229.25,0
26-35,delhi,bill payment,education,38,197974,5209.84,0
26-35,delhi,bill payment,entertainment,112,44580,398.04,0
26-35,delhi,bill payment,food,219,123138,562.27,0
26-35,delhi,bill payment,fuel,130,204209,1570.84,1
26-35,delhi,bill payment,grocery,233,300146,1288.18,0
26-35,delhi,bill payment,healthcare,62,26114,421.19,0
26-35,delhi,bill payment,other,141,129956,921.67,0
26-35,delhi,bill payment,shopping,149,438527,2943.13,1
26-35,delhi,bill payment,transport,104,26187,251.8,0
26-35,delhi,bill payment,utilities,110,258545,2350.41,0
26-35,delhi,p2m,education,82,479316,5845.32,1
26-35,delhi,p2m,entertainment,267,110991,415.7,1
26-35,delhi,p2m,food,462,263723,570.83,0
26-35,delhi,p2m,fuel,318,495720,1558.87,2
26-35,delhi,p2m,grocery,616,696051,1129.95,1
26-35,delhi,p2m,healthcare,150,67158,447.72,2
26-35,delhi,p2m,other,282,252028,893.72,0
26-35,delhi,p2m,shopping,380,963885,2536.54,1
26-35,delhi,p2m,transport,254,86825,341.83,2
26-35,delhi,p2m,utilities,304,634907,2088.51,0
26-35,delhi,p2p,education,122,621662,5095.59,0
26-35,delhi,p2p,entertainment,304,144924,476.72,1
26-35,delhi,p2p,food,584,350905,600.86,1
26-35,delhi,p2p,fuel,383,597905,1561.11,2
26-35,delhi,p2p,grocery,738,904991,1226.28,2
26-35,delhi,p2p,healthcare,213,99507,467.17,1
26-35,delhi,p2p,other,412,348920,846.89,1
26-35,delhi,p2p,shopping,456,1228333,2693.71,0
26-35,delhi,p2p,transport,288,84112,292.06,0
26-35,delhi,p2p,utilities,318,695244,2186.3,0
26-35,delhi,recharge,education,7,46510,6644.29,0
26-35,delhi,recharge,entertainment,44,20713,470.75,0
26-35,delhi,recharge,food,70,42437,606.24,0
26-35,delhi,recharge,fuel,41,63586,1550.88,0
26-35,delhi,recharge,grocery,70,69888,998.4,0
26-35,delhi,recharge,healthcare,23,14585,634.13,0
26-35,delhi,recharge,other,39,31826,816.05,0
26-35,delhi,recharge,shopping,44,116113,2638.93,0
