sender_bank,device_type,network_type,is_peak_hour,day_of_week,total_transactions,failed_transactions,failure_rate,avg_amount
axis,ios,4g,0,thursday,252,12,4.761904761904762,1408.857142857143
axis,ios,4g,0,tuesday,216,9,4.166666666666666,1090.1990740740741
axis,ios,4g,0,wednesday,216,11,5.092592592592593,1126.2777777777778
axis,ios,4g,1,friday,184,18,9.782608695652174,1313.983695652174
axis,ios,4g,1,monday,207,9,4.3478260869565215,1360.352657004831
axis,ios,4g,1,saturday,179,9,5.027932960893855,1295.1340782122904
axis,ios,4g,1,sunday,196,8,4.081632653061225,1254.3367346938776
axis,ios,4g,1,thursday,194,8,4.123711340206185,1168.6701030927834
axis,ios,4g,1,tuesday,205,3,1.4634146341463417,1324.7463414634146
axis,ios,4g,1,wednesday,188,13,6.914893617021277,1293.4308510638298
axis,ios,5g,0,friday,92,5,5.434782608695652,1226.1630434782608
axis,ios,5g,0,monday,105,8,7.6190476190476195,1106.6380952380953
axis,ios,5g,0,saturday,97,3,3.0927835051546393,1149.7422680412371
axis,ios,5g,0,sunday,97,8,8.24742268041237,1456.7731958762886
axis,ios,5g,0,thursday,99,4,4.040404040404041,1173.4444444444443
axis,ios,5g,0,tuesday,87,7,8.045977011494253,1180.1379310344828
axis,ios,5g,0,wednesday,86,4,4.651162790697675,1197.406976744186
axis,ios,5g,1,friday,75,2,2.666666666666667,1531.92
axis,ios,5g,1,monday,90,2,2.2222222222222223,1474.3
axis,ios,5g,1,saturday,83,6,7.228915662650602,1232.855421686747
axis,ios,5g,1,sunday,84,6,7.142857142857142,1258.6190476190477
axis,ios,5g,1,thursday,92,4,4.3478260869565215,978.695652173913
axis,ios,5g,1,tuesday,77,5,6.493506493506493,1088.012987012987
axis,ios,5g,1,wednesday,92,3,3.260869565217391,1576.0217391304348
axis,ios,wifi,0,friday,38,2,5.263157894736842,2067.7368421052633
axis,ios,wifi,0,monday,43,3,6.976744186046512,1317.2325581395348
axis,ios,wifi,0,saturday,39,3,7.6923076923076925,1578.6410256410256
axis,ios,wifi,0,sunday,40,3,7.5,1268.175
axis,ios,wifi,0,thursday,29,0,0.0,1313.5172413793102
axis,ios,wifi,0,tuesday,37,1,2.7027027027027026,891.4324324324324
axis,ios,wifi,0,wednesday,40,1,2.5,1345.6
axis,ios,wifi,1,friday,38,2,5.263157894736842,918.2894736842105
axis,ios,wifi,1,monday,33,2,6.0606060606060606,1145.2424242424242
axis,ios,wifi,1,saturday,39,4,10.256410256410255,1056.2307692307693
axis,ios,wifi,1,sunday,40,3,7.5,1324.2
axis,ios,wifi,1,thursday,40,3,7.5,1274.375
axis,ios,wifi,1,tuesday,36,2,5.555555555555555,1376.3055555555557
axis,ios,wifi,1,wednesday,23,0,0.0,1229.695652173913
axis,web,3g,0,friday,5,0,0.0,470.4
axis,web,3g,0,monday,3,0,0.0,725.6666666666666
axis,web,3g,0,saturday,4,0,0.0,2274.5
axis,web,3g,0,sunday,4,0,0.0,1130.25
axis,web,3g,0,thursday,4,0,0.0,372.0
axis,web,3g,0,tuesday,5,1,20.0,2067.0
axis,web,3g,0,wednesday,6,0,0.0,1828.3333333333333
axis,web,3g,1,friday,2,0,0.0,2045.5
axis,web,3g,1,monday,8,2,25.0,1043.75
axis,web,3g,1,saturday,4,0,0.0,1065.25
axis,web,3g,1,sunday,7,0,0.0,3921.5714285714284
axis,web,3g,1,thursday,4,0,0.0,2382.0
axis,web,3g,1,tuesday,2,0,0.0,1664.0
axis,web,3g,1,wednesday,4,0,0.0,321.0
axis,web,4g,0,friday,60,3,5.0,1336.3166666666666
axis,web,4g,0,monday,51,2,3.9215686274509802,1357.9607843137255
axis,web,4g,0,saturday,53,2,3.7735849056603774,1548.1509433962265
axis,web,4g,0,sunday,58,3,5.172413793103448,1364.655172413793
axis,web,4g,0,thursday,58,0,0.0,1215.2068965517242
axis,web,4g,0,tuesday,58,3,5.172413793103448,1340.448275862069
axis,web,4g,0,wednesday,64,2,3.125,896.71875
axis,web,4g,1,friday,53,2,3.7735849056603774,1534.245283018868
axis,web,4g,1,monday,50,2,4.0,1240.1
axis,web,4g,1,saturday,45,3,6.666666666666667,1106.1555555555556
axis,web,4g,1,sunday,59,2,3.389830508474576,1371.0338983050847
axis,web,4g,1,thursday,45,2,4.444444444444445,850.6444444444444
axis,web,4g,1,tuesday,50,6,12.0,1063.04
axis,web,4g,1,wednesday,46,4,8.695652173913043,1499.608695652174
axis,web,5g,0,friday,22,2,9.090909090909092,1611.3181818181818
axis,web,5g,0,monday,26,3,11.538461538461538,967.4615384615385
axis,web,5g,0,saturday,27,0,0.0,1444.3703703703704
axis,web,5g,0,sunday,25,2,8.0,936.44
axis,web,5g,0,thursday,29,1,3.4482758620689653,1330.6206896551723
axis,web,5g,0,tuesday,22,1,4.545454545454546,1546.9545454545455
axis,web,5g,0,wednesday,20,0,0.0,2450.0
axis,web,5g,1,friday,15,2,13.333333333333334,617.3333333333334
axis,web,5g,1,monday,19,3,15.789473684210526,1596.578947368421
axis,web,5g,1,saturday,24,0,0.0,849.3333333333334
axis,web,5g,1,sunday,25,2,8.0,1420.04
axis,web,5g,1,thursday,26,3,11.538461538461538,1811.1153846153845
axis,web,5g,1,tuesday,21,3,14.285714285714285,2195.714285714286
axis,web,5g,1,wednesday,21,0,0.0,1052.6666666666667
axis,web,wifi,0,friday,10,1,10.0,1263.4
axis,web,wifi,0,monday,6,0,0.0,995.5
axis,web,wifi,0,saturday,11,1,9.090909090909092,875.6363636363636
axis,web,wifi,0,sunday,9,1,11.11111111111111,711.1111111111111
axis,web,wifi,0,thursday,7,0,0.0,243.42857142857142
axis,web,wifi,0,tuesday,10,0,0.0,1836.8
axis,web,wifi,0,wednesday,14,1,7.142857142857142,1137.7142857142858
axis,web,wifi,1,friday,8,0,0.0,1257.125
axis,web,wifi,1,monday,18,1,5.555555555555555,2099.722222222222
axis,web,wifi,1,saturday,7,0,0.0,1768.4285714285713
axis,web,wifi,1,sunday,6,0,0.0,776.3333333333334
axis,web,wifi,1,thursday,12,1,8.333333333333332,971.9166666666666
axis,web,wifi,1,tuesday,11,0,0.0,1632.6363636363637
axis,web,wifi,1,wednesday,12,0,0.0,941.5
hdfc,android,3g,0,friday,124,8,6.451612903225806,1699.282258064516
hdfc,android,3g,0,monday,121,7,5.785123966942149,1236.9173553719008
hdfc,android,3g,0,saturday,104,10,9.615384615384617,947.6538461538462
hdfc,android,3g,0,sunday,128,8,6.25,1490.8984375
hdfc,android,3g,0,thursday,126,5,3.968253968253968,1389.8650793650793
hdfc,android,3g,0,tuesday,118,10,8.47457627118644,1130.8050847457628
hdfc,android,3g,0,wednesday,108,5,4.62962962962963,1250.2592592592594
hdfc,android,3g,1,friday,78,0,0.0,1448.5
hdfc,android,3g,1,monday,73,2,2.73972602739726,999.9589041095891
hdfc,android,3g,1,saturday,82,2,2.4390243902439024,1031.5487804878048
hdfc,android,3g,1,sunday,87,4,4.597701149425287,1233.712643678161
hdfc,android,3g,1,thursday,79,3,3.79746835443038,1670.1518987341772
hdfc,android,3g,1,tuesday,101,7,6.9306930693069315,1130.5940594059407
hdfc,android,3g,1,wednesday,93,2,2.1505376344086025,1289.741935483871
hdfc,android,4g,0,friday,1302,73,5.6067588325652835,1399.5614439324117
hdfc,android,4g,0,monday,1297,68,5.242868157286044,1378.3168851195067
hdfc,android,4g,0,saturday,1292,66,5.108359133126935,1348.3823529411766
hdfc,android,4g,0,sunday,1241,55,4.43190975020145,1308.668815471394
hdfc,android,4g,0,thursday,1276,65,5.094043887147335,1370.2594043887148
hdfc,android,4g,0,tuesday,1225,58,4.73469387755102,1373.0653061224489
hdfc,android,4g,0,wednesday,1316,72,5.47112462006079,1324.3829787234042
hdfc,android,4g,1,friday,1090,54,4.954128440366973,1251.7394495412843
hdfc,android,4g,1,monday,1098,48,4.371584699453552,1304.4918032786886
hdfc,android,4g,1,saturday,1132,53,4.681978798586572,1345.018551236749
hdfc,android,4g,1,sunday,1155,67,5.800865800865801,1363.774025974026
hdfc,android,4g,1,thursday,1068,46,4.307116104868914,1233.9073033707866
hdfc,android,4g,1,tuesday,1101,50,4.541326067211625,1381.4468664850135
hdfc,android,4g,1,wednesday,1100,55,5.0,1268.73
hdfc,android,5g,0,friday,529,17,3.213610586011342,1396.5671077504726
hdfc,android,5g,0,monday,581,29,4.991394148020654,1331.1790017211704
hdfc,android,5g,0,saturday,567,21,3.7037037037037033,1134.1058201058202
hdfc,android,5g,0,sunday,577,34,5.892547660311958,1307.3778162911613
hdfc,android,5g,0,thursday,537,23,4.283054003724395,1243.2551210428305
hdfc,android,5g,0,tuesday,563,24,4.262877442273535,1310.822380106572
hdfc,android,5g,0,wednesday,533,32,6.0037523452157595,1456.108818011257
hdfc,android,5g,1,friday,460,18,3.91304347826087,1264.9152173913044
hdfc,android,5g,1,monday,469,24,5.11727078891258,1444.8379530916845
hdfc,android,5g,1,saturday,483,24,4.968944099378882,1177.2525879917184
hdfc,android,5g,1,sunday,475,23,4.842105263157895,1348.3010526315788
hdfc,android,5g,1,thursday,456,24,5.263157894736842,1214.9013157894738
hdfc,android,5g,1,tuesday,433,21,4.849884526558892,1242.94688221709
hdfc,android,5g,1,wednesday,412,21,5.097087378640777,1221.2135922330096
hdfc,android,wifi,0,friday,220,8,3.6363636363636362,1200.9727272727273
hdfc,android,wifi,0,monday,210,11,5.238095238095238,1323.847619047619
hdfc,android,wifi,0,saturday,206,7,3.3980582524271843,1263.388349514563
hdfc,android,wifi,0,sunday,226,11,4.867256637168142,1453.725663716814
hdfc,android,wifi,0,thursday,233,15,6.437768240343347,1280.5836909871246
hdfc,android,wifi,0,tuesday,197,10,5.0761421319796955,1483.4060913705584
hdfc,android,wifi,0,wednesday,188,6,3.1914893617021276,1239.723404255319
hdfc,android,wifi,1,friday,183,6,3.278688524590164,1360.0218579234972
hdfc,android,wifi,1,monday,210,8,3.8095238095238098,1284.6285714285714
hdfc,android,wifi,1,saturday,200,5,2.5,1469.63
hdfc,android,wifi,1,sunday,172,12,6.976744186046512,1459.5174418604652
hdfc,android,wifi,1,thursday,192,8,4.166666666666666,1298.1302083333333
hdfc,android,wifi,1,tuesday,196,9,4.591836734693878,1403.9897959183672
hdfc,android,wifi,1,wednesday,208,10,4.807692307692308,1448.889423076923
hdfc,ios,3g,0,friday,33,2,6.0606060606060606,1782.909090909091
hdfc,ios,3g,0,monday,26,2,7.6923076923076925,991.9615384615385
hdfc,ios,3g,0,saturday,30,0,0.0,1086.8666666666666
hdfc,ios,3g,0,sunday,23,2,8.695652173913043,1358.1304347826087
hdfc,ios,3g,0,thursday,28,1,3.571428571428571,1530.3214285714287
hdfc,ios,3g,0,tuesday,31,1,3.225806451612903,1335.0
hdfc,ios,3g,0,wednesday,27,2,7.4074074074074066,1634.7407407407406
hdfc,ios,3g,1,friday,26,3,11.538461538461538,1684.1538461538462
hdfc,ios,3g,1,monday,25,2,8.0,810.96
hdfc,ios,3g,1,saturday,25,2,8.0,978.92
hdfc,ios,3g,1,sunday,25,1,4.0,990.0
hdfc,ios,3g,1,thursday,17,1,5.88235294117647,1150.4705882352941
hdfc,ios,3g,1,tuesday,21,0,0.0,1766.5238095238096
hdfc,ios,3g,1,wednesday,15,1,6.666666666666667,1855.6666666666667
hdfc,ios,4g,0,friday,334,10,2.9940119760479043,1338.7604790419161
hdfc,ios,4g,0,monday,363,13,3.581267217630854,1294.473829201102
hdfc,ios,4g,0,saturday,351,19,5.413105413105413,1233.1196581196582
hdfc,ios,4g,0,sunday,357,22,6.162464985994398,1412.142857142857
hdfc,ios,4g,0,thursday,336,14,4.166666666666666,1388.2886904761904
hdfc,ios,4g,0,tuesday,351,15,4.273504273504273,1268.2364672364672
hdfc,ios,4g,0,wednesday,314,16,5.095541401273886,1311.0159235668789
hdfc,ios,4g,1,friday,343,15,4.373177842565598,1358.067055393586
hdfc,ios,4g,1,monday,293,15,5.1194539249146755,1370.2354948805462
hdfc,ios,4g,1,saturday,282,17,6.028368794326241,1519.904255319149
hdfc,ios,4g,1,sunday,297,11,3.7037037037037033,1341.2828282828282
hdfc,ios,4g,1,thursday,315,12,3.8095238095238098,1219.231746031746
hdfc,ios,4g,1,tuesday,292,17,5.821917808219178,1224.777397260274
hdfc,ios,4g,1,wednesday,304,10,3.289473684210526,1501.6644736842106
hdfc,ios,5g,0,friday,147,7,4.761904761904762,1250.3333333333333
hdfc,ios,5g,0,monday,156,10,6.41025641025641,1480.0961538461538
hdfc,ios,5g,0,saturday,136,7,5.147058823529411,1255.5367647058824
hdfc,ios,5g,0,sunday,164,6,3.6585365853658534,1209.8170731707316
hdfc,ios,5g,0,thursday,145,8,5.517241379310345,1132.2413793103449
hdfc,ios,5g,0,tuesday,139,7,5.0359712230215825,1716.0791366906474
hdfc,ios,5g,0,wednesday,149,11,7.38255033557047,1526.9530201342282
hdfc,ios,5g,1,friday,118,6,5.084745762711865,1393.177966101695
hdfc,ios,5g,1,monday,122,1,0.819672131147541,961.8196721311475
hdfc,ios,5g,1,saturday,123,8,6.504065040650407,1306.1138211382113
hdfc,ios,5g,1,sunday,145,6,4.137931034482759,1395.1310344827587
hdfc,ios,5g,1,thursday,120,7,5.833333333333333,1223.075
hdfc,ios,5g,1,tuesday,134,5,3.731343283582089,1380.6194029850747
hdfc,ios,5g,1,wednesday,135,3,2.2222222222222223,1400.5925925925926
hdfc,ios,wifi,0,friday,59,4,6.779661016949152,1211.9661016949153
hdfc,ios,wifi,0,monday,53,1,1.8867924528301887,1243.8490566037735
hdfc,ios,wifi,0,saturday,53,1,1.8867924528301887,1259.0188679245282
hdfc,ios,wifi,0,sunday,55,2,3.6363636363636362,1411.8181818181818
hdfc,ios,wifi,0,thursday,64,1,1.5625,1559.34375
hdfc,ios,wifi,0,tuesday,47,2,4.25531914893617,1251.5744680851064
hdfc,ios,wifi,0,wednesday,69,1,1.4492753623188406,1668.231884057971
hdfc,ios,wifi,1,friday,53,3,5.660377358490567,1269.4905660377358
hdfc,ios,wifi,1,monday,47,3,6.382978723404255,1211.5744680851064
hdfc,ios,wifi,1,saturday,49,5,10.204081632653061,1179.6326530612246
hdfc,ios,wifi,1,sunday,39,2,5.128205128205128,1285.4102564102564
hdfc,ios,wifi,1,thursday,44,3,6.8181818181818175,1382.7045454545455
hdfc,ios,wifi,1,tuesday,52,3,5.769230769230769,1559.7884615384614
hdfc,ios,wifi,1,wednesday,47,0,0.0,858.7872340425532
hdfc,web,3g,0,friday,4,0,0.0,4190.25
hdfc,web,3g,0,monday,10,0,0.0,2094.3
hdfc,web,3g,0,saturday,10,2,20.0,1232.4
hdfc,web,3g,0,sunday,6,0,0.0,782.0
hdfc,web,3g,0,thursday,6,0,0.0,433.1666666666667
hdfc,web,3g,0,tuesday,9,0,0.0,665.1111111111111
hdfc,web,3g,0,wednesday,16,0,0.0,779.5
hdfc,web,3g,1,friday,7,0,0.0,1769.0
hdfc,web,3g,1,monday,11,0,0.0,980.8181818181819
hdfc,web,3g,1,saturday,5,0,0.0,2296.2
hdfc,web,3g,1,sunday,11,0,0.0,685.0
hdfc,web,3g,1,thursday,5,1,20.0,2245.4
hdfc,web,3g,1,tuesday,7,0,0.0,1251.142857142857
hdfc,web,3g,1,wednesday,5,0,0.0,2120.6
hdfc,web,4g,0,friday,90,7,7.777777777777778,1552.1777777777777
hdfc,web,4g,0,monday,89,5,5.617977528089887,1155.2696629213483
hdfc,web,4g,0,saturday,101,8,7.920792079207921,1732.1584158415842
hdfc,web,4g,0,sunday,90,3,3.3333333333333335,1759.7777777777778
hdfc,web,4g,0,thursday,99,5,5.05050505050505,1686.5959595959596
hdfc,web,4g,0,tuesday,91,6,6.593406593406594,1175.5054945054944
hdfc,web,4g,0,wednesday,88,3,3.4090909090909087,1173.3977272727273
hdfc,web,4g,1,friday,70,4,5.714285714285714,1223.6142857142856
hdfc,web,4g,1,monday,79,7,8.860759493670885,1106.987341772152
hdfc,web,4g,1,saturday,68,5,7.352941176470589,1106.485294117647
hdfc,web,4g,1,sunday,65,2,3.076923076923077,1375.4307692307693
hdfc,web,4g,1,thursday,70,4,5.714285714285714,1570.5285714285715
hdfc,web,4g,1,tuesday,74,2,2.7027027027027026,1394.6756756756756
hdfc,web,4g,1,wednesday,84,3,3.571428571428571,1216.952380952381
hdfc,web,5g,0,friday,30,2,6.666666666666667,1552.5666666666666
hdfc,web,5g,0,monday,40,1,2.5,1516.925
hdfc,web,5g,0,saturday,32,0,0.0,1538.46875
hdfc,web,5g,0,sunday,34,4,11.76470588235294,1313.9117647058824
hdfc,web,5g,0,thursday,29,1,3.4482758620689653,1156.2758620689656
hdfc,web,5g,0,tuesday,43,4,9.30232558139535,1099.046511627907
hdfc,web,5g,0,wednesday,29,2,6.896551724137931,1169.2413793103449
hdfc,web,5g,1,friday,24,3,12.5,1183.9166666666667
hdfc,web,5g,1,monday,34,0,0.0,1376.4411764705883
hdfc,web,5g,1,saturday,31,2,6.451612903225806,1476.3870967741937
hdfc,web,5g,1,sunday,39,1,2.564102564102564,1234.6153846153845
hdfc,web,5g,1,thursday,37,0,0.0,946.0
hdfc,web,5g,1,tuesday,30,1,3.3333333333333335,1132.2333333333333
hdfc,web,5g,1,wednesday,26,0,0.0,1162.2692307692307
hdfc,web,wifi,0,friday,13,1,7.6923076923076925,1276.6153846153845
hdfc,web,wifi,0,monday,11,0,0.0,597.5454545454545
hdfc,web,wifi,0,saturday,12,1,8.333333333333332,1239.1666666666667
hdfc,web,wifi,0,sunday,11,0,0.0,693.8181818181819
hdfc,web,wifi,0,thursday,11,0,0.0,733.7272727272727
hdfc,web,wifi,0,tuesday,17,0,0.0,1295.1764705882354
hdfc,web,wifi,0,wednesday,14,1,7.142857142857142,2685.285714285714
hdfc,web,wifi,1,friday,8,1,12.5,993.125
hdfc,web,wifi,1,monday,10,1,10.0,1485.3
hdfc,web,wifi,1,saturday,17,1,5.88235294117647,2819.9411764705883
hdfc,web,wifi,1,sunday,10,0,0.0,1024.0
hdfc,web,wifi,1,thursday,19,0,0.0,1269.0
hdfc,web,wifi,1,tuesday,13,1,7.6923076923076925,1065.6923076923076
hdfc,web,wifi,1,wednesday,12,0,0.0,927.0833333333334
icici,android,3g,0,friday,82,4,4.878048780487805,1128.7439024390244
icici,android,3g,0,monday,97,9,9.278350515463918,1101.020618556701
icici,android,3g,0,saturday,87,5,5.747126436781609,1054.367816091954
icici,android,3g,0,sunday,85,4,4.705882352941177,1593.9411764705883
icici,android,3g,0,thursday,86,3,3.488372093023256,1483.5348837209303
icici,android,3g,0,tuesday,97,7,7.216494845360824,1439.4845360824743
icici,android,3g,0,wednesday,71,1,1.4084507042253522,1427.0845070422536
icici,android,3g,1,friday,64,5,7.8125,1314.265625
icici,android,3g,1,monday,82,6,7.317073170731707,1195.1341463414635
icici,android,3g,1,saturday,74,3,4.054054054054054,1387.7837837837837
icici,android,3g,1,sunday,73,4,5.47945205479452,1698.9041095890411
icici,android,3g,1,thursday,77,3,3.896103896103896,1185.3246753246754
icici,android,3g,1,tuesday,80,0,0.0,1111.6125
icici,android,3g,1,wednesday,86,3,3.488372093023256,1361.5581395348838
icici,android,4g,0,friday,1051,52,4.9476688867745,1283.721217887726
icici,android,4g,0,monday,1157,44,3.8029386343993083,1323.705272255834
icici,android,4g,0,saturday,1008,47,4.662698412698413,1327.4444444444443
icici,android,4g,0,sunday,1065,61,5.727699530516432,1232.7708920187793
icici,android,4g,0,thursday,1029,53,5.150631681243926,1274.3187560738581
icici,android,4g,0,tuesday,1041,38,3.6503362151777137,1327.308357348703
icici,android,4g,0,wednesday,1009,56,5.550049554013875,1289.548067393459
icici,android,4g,1,friday,885,49,5.536723163841808,1316.767231638418
icici,android,4g,1,monday,855,48,5.614035087719298,1233.8654970760233
icici,android,4g,1,saturday,855,46,5.380116959064328,1304.3766081871345
icici,android,4g,1,sunday,875,59,6.742857142857144,1390.4868571428572
icici,android,4g,1,thursday,836,41,4.904306220095694,1292.9138755980862
icici,android,4g,1,tuesday,848,36,4.245283018867925,1323.252358490566
icici,android,4g,1,wednesday,860,37,4.302325581395349,1259.7732558139535
icici,android,5g,0,friday,475,22,4.631578947368421,1366.6673684210527
icici,android,5g,0,monday,443,18,4.063205417607223,1265.6817155756207
icici,android,5g,0,saturday,424,26,6.132075471698113,1290.247641509434
icici,android,5g,0,sunday,433,22,5.080831408775981,1351.9353348729792
icici,android,5g,0,thursday,478,15,3.1380753138075312,1427.1401673640166
icici,android,5g,0,tuesday,456,25,5.482456140350877,1407.8048245614036
icici,android,5g,0,wednesday,445,24,5.393258426966292,1258.0584269662922
icici,android,5g,1,friday,384,20,5.208333333333334,1192.1510416666667
icici,android,5g,1,monday,372,25,6.720430107526881,1423.6344086021506
icici,android,5g,1,saturday,354,15,4.23728813559322,1271.3135593220338
icici,android,5g,1,sunday,353,15,4.2492917847025495,1267.1473087818697
icici,android,5g,1,thursday,354,20,5.649717514124294,1291.4802259887006
icici,android,5g,1,tuesday,351,23,6.552706552706552,1426.997150997151
icici,android,5g,1,wednesday,335,20,5.970149253731343,1264.6955223880598
icici,android,wifi,0,friday,180,7,3.888888888888889,1234.7444444444445
icici,android,wifi,0,monday,157,11,7.006369426751593,1354.0700636942674
icici,android,wifi,0,saturday,175,13,7.428571428571429,1282.8285714285714
icici,android,wifi,0,sunday,170,9,5.294117647058823,1278.0176470588235
icici,android,wifi,0,thursday,160,6,3.75,1449.1875
icici,android,wifi,0,tuesday,159,10,6.289308176100629,1517.245283018868
icici,android,wifi,0,wednesday,182,11,6.043956043956044,1341.39010989011
icici,android,wifi,1,friday,142,8,5.633802816901409,1324.7394366197184
icici,android,wifi,1,monday,141,10,7.092198581560284,1314.8014184397164
icici,android,wifi,1,saturday,147,5,3.4013605442176873,1363.299319727891
icici,android,wifi,1,sunday,139,6,4.316546762589928,1390.2086330935251
icici,android,wifi,1,thursday,150,8,5.333333333333334,1242.7933333333333
icici,android,wifi,1,tuesday,140,1,0.7142857142857143,1029.25
icici,android,wifi,1,wednesday,125,3,2.4,1286.696
icici,ios,3g,0,friday,17,0,0.0,586.8823529411765
icici,ios,3g,0,monday,16,1,6.25,925.625
icici,ios,3g,0,saturday,20,1,5.0,1087.15
icici,ios,3g,0,sunday,27,0,0.0,1375.111111111111
icici,ios,3g,0,thursday,23,1,4.3478260869565215,987.5217391304348
icici,ios,3g,0,tuesday,18,2,11.11111111111111,1193.0555555555557
icici,ios,3g,0,wednesday,28,1,3.571428571428571,1410.6785714285713
icici,ios,3g,1,friday,17,0,0.0,966.1764705882352
