sender_state,hour_of_day,device_type,network_type,amount_category,total_transactions,fraud_transactions,fraud_rate,avg_fraud_amount
andhra pradesh,2,android,4g,High (2K-10K),9,0,0.0,0.0
andhra pradesh,2,android,5g,Small (<500),6,0,0.0,0.0
andhra pradesh,2,android,5g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,2,android,5g,High (2K-10K),8,0,0.0,0.0
andhra pradesh,2,android,wifi,Small (<500),6,0,0.0,0.0
andhra pradesh,2,android,wifi,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,2,android,wifi,High (2K-10K),1,0,0.0,0.0
andhra pradesh,2,ios,4g,Small (<500),11,1,9.090909090909092,162.0
andhra pradesh,2,ios,4g,Medium (500-2K),7,0,0.0,0.0
andhra pradesh,2,ios,4g,High (2K-10K),4,0,0.0,0.0
andhra pradesh,2,ios,5g,Small (<500),2,0,0.0,0.0
andhra pradesh,2,ios,5g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,2,ios,5g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,2,ios,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,2,web,4g,Small (<500),3,0,0.0,0.0
andhra pradesh,2,web,4g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,2,web,5g,Small (<500),1,0,0.0,0.0
andhra pradesh,2,web,wifi,Small (<500),3,0,0.0,0.0
andhra pradesh,3,android,3g,Small (<500),3,0,0.0,0.0
andhra pradesh,3,android,3g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,3,android,3g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,3,android,4g,Small (<500),23,0,0.0,0.0
andhra pradesh,3,android,4g,Medium (500-2K),19,0,0.0,0.0
andhra pradesh,3,android,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,3,android,5g,Small (<500),7,0,0.0,0.0
andhra pradesh,3,android,5g,Medium (500-2K),8,0,0.0,0.0
andhra pradesh,3,android,5g,High (2K-10K),4,0,0.0,0.0
andhra pradesh,3,android,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,3,android,wifi,Medium (500-2K),7,0,0.0,0.0
andhra pradesh,3,android,wifi,High (2K-10K),4,0,0.0,0.0
andhra pradesh,3,ios,3g,Small (<500),1,0,0.0,0.0
andhra pradesh,3,ios,4g,Small (<500),4,0,0.0,0.0
andhra pradesh,3,ios,4g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,3,ios,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,3,ios,5g,Small (<500),2,0,0.0,0.0
andhra pradesh,3,ios,5g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,3,ios,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,3,ios,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,3,web,3g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,3,web,4g,Small (<500),3,0,0.0,0.0
andhra pradesh,3,web,4g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,3,web,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,4,android,3g,Small (<500),4,0,0.0,0.0
andhra pradesh,4,android,4g,Small (<500),23,0,0.0,0.0
andhra pradesh,4,android,4g,Medium (500-2K),24,0,0.0,0.0
andhra pradesh,4,android,4g,High (2K-10K),5,0,0.0,0.0
andhra pradesh,4,android,5g,Small (<500),7,0,0.0,0.0
andhra pradesh,4,android,5g,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,4,android,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,4,android,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,4,android,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,4,android,wifi,High (2K-10K),1,0,0.0,0.0
andhra pradesh,4,ios,3g,Small (<500),1,0,0.0,0.0
andhra pradesh,4,ios,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,4,ios,4g,Small (<500),5,0,0.0,0.0
andhra pradesh,4,ios,4g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,4,ios,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,4,ios,5g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,4,ios,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,4,ios,wifi,High (2K-10K),1,0,0.0,0.0
andhra pradesh,4,web,4g,Small (<500),4,0,0.0,0.0
andhra pradesh,4,web,4g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,4,web,4g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,5,android,3g,Small (<500),2,0,0.0,0.0
andhra pradesh,5,android,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,5,android,4g,Small (<500),31,0,0.0,0.0
andhra pradesh,5,android,4g,Medium (500-2K),26,0,0.0,0.0
andhra pradesh,5,android,4g,High (2K-10K),13,0,0.0,0.0
andhra pradesh,5,android,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,5,android,5g,Small (<500),9,0,0.0,0.0
andhra pradesh,5,android,5g,Medium (500-2K),8,0,0.0,0.0
andhra pradesh,5,android,5g,High (2K-10K),8,0,0.0,0.0
andhra pradesh,5,android,wifi,Small (<500),3,0,0.0,0.0
andhra pradesh,5,android,wifi,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,5,android,wifi,High (2K-10K),6,0,0.0,0.0
andhra pradesh,5,android,wifi,Very High (>10K),1,0,0.0,0.0
andhra pradesh,5,ios,4g,Small (<500),10,0,0.0,0.0
andhra pradesh,5,ios,4g,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,5,ios,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,5,ios,5g,Small (<500),2,0,0.0,0.0
andhra pradesh,5,ios,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,5,ios,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,5,web,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,5,web,4g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,5,web,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,5,web,5g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,5,web,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,6,android,3g,Small (<500),4,0,0.0,0.0
andhra pradesh,6,android,3g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,6,android,3g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,6,android,3g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,6,android,4g,Small (<500),60,0,0.0,0.0
andhra pradesh,6,android,4g,Medium (500-2K),49,0,0.0,0.0
andhra pradesh,6,android,4g,High (2K-10K),20,0,0.0,0.0
andhra pradesh,6,android,5g,Small (<500),28,0,0.0,0.0
andhra pradesh,6,android,5g,Medium (500-2K),12,0,0.0,0.0
andhra pradesh,6,android,5g,High (2K-10K),15,0,0.0,0.0
andhra pradesh,6,android,wifi,Small (<500),12,0,0.0,0.0
andhra pradesh,6,android,wifi,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,6,android,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,6,ios,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,6,ios,4g,Small (<500),14,0,0.0,0.0
andhra pradesh,6,ios,4g,Medium (500-2K),15,0,0.0,0.0
andhra pradesh,6,ios,4g,High (2K-10K),4,0,0.0,0.0
andhra pradesh,6,ios,5g,Small (<500),7,0,0.0,0.0
andhra pradesh,6,ios,5g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,6,ios,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,6,ios,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,6,ios,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,6,ios,wifi,High (2K-10K),2,0,0.0,0.0
andhra pradesh,6,web,4g,Small (<500),2,0,0.0,0.0
andhra pradesh,6,web,4g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,6,web,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,6,web,5g,Small (<500),1,0,0.0,0.0
andhra pradesh,6,web,5g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,6,web,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,6,web,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,7,android,3g,Small (<500),10,0,0.0,0.0
andhra pradesh,7,android,3g,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,7,android,3g,High (2K-10K),4,0,0.0,0.0
andhra pradesh,7,android,4g,Small (<500),77,0,0.0,0.0
andhra pradesh,7,android,4g,Medium (500-2K),79,0,0.0,0.0
andhra pradesh,7,android,4g,High (2K-10K),39,0,0.0,0.0
andhra pradesh,7,android,4g,Very High (>10K),2,0,0.0,0.0
andhra pradesh,7,android,5g,Small (<500),44,0,0.0,0.0
andhra pradesh,7,android,5g,Medium (500-2K),34,0,0.0,0.0
andhra pradesh,7,android,5g,High (2K-10K),23,0,0.0,0.0
andhra pradesh,7,android,wifi,Small (<500),16,0,0.0,0.0
andhra pradesh,7,android,wifi,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,7,android,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,7,ios,4g,Small (<500),20,0,0.0,0.0
andhra pradesh,7,ios,4g,Medium (500-2K),16,0,0.0,0.0
andhra pradesh,7,ios,4g,High (2K-10K),13,0,0.0,0.0
andhra pradesh,7,ios,5g,Small (<500),5,0,0.0,0.0
andhra pradesh,7,ios,5g,Medium (500-2K),8,0,0.0,0.0
andhra pradesh,7,ios,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,7,ios,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,7,ios,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,7,ios,wifi,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,7,web,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,7,web,4g,Small (<500),8,0,0.0,0.0
andhra pradesh,7,web,4g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,7,web,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,7,web,5g,Small (<500),1,0,0.0,0.0
andhra pradesh,8,android,3g,Small (<500),11,0,0.0,0.0
andhra pradesh,8,android,3g,Medium (500-2K),8,0,0.0,0.0
andhra pradesh,8,android,3g,High (2K-10K),6,0,0.0,0.0
andhra pradesh,8,android,4g,Small (<500),108,0,0.0,0.0
andhra pradesh,8,android,4g,Medium (500-2K),108,1,0.9259259259259258,1709.0
andhra pradesh,8,android,4g,High (2K-10K),53,0,0.0,0.0
andhra pradesh,8,android,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,8,android,5g,Small (<500),41,0,0.0,0.0
andhra pradesh,8,android,5g,Medium (500-2K),44,0,0.0,0.0
andhra pradesh,8,android,5g,High (2K-10K),21,0,0.0,0.0
andhra pradesh,8,android,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,8,android,wifi,Small (<500),31,0,0.0,0.0
andhra pradesh,8,android,wifi,Medium (500-2K),18,0,0.0,0.0
andhra pradesh,8,android,wifi,High (2K-10K),10,0,0.0,0.0
andhra pradesh,8,ios,3g,Small (<500),5,0,0.0,0.0
andhra pradesh,8,ios,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,8,ios,3g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,8,ios,4g,Small (<500),30,0,0.0,0.0
andhra pradesh,8,ios,4g,Medium (500-2K),24,0,0.0,0.0
andhra pradesh,8,ios,4g,High (2K-10K),26,0,0.0,0.0
andhra pradesh,8,ios,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,8,ios,5g,Small (<500),14,0,0.0,0.0
andhra pradesh,8,ios,5g,Medium (500-2K),11,0,0.0,0.0
andhra pradesh,8,ios,5g,High (2K-10K),8,0,0.0,0.0
andhra pradesh,8,ios,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,8,ios,wifi,Small (<500),12,0,0.0,0.0
andhra pradesh,8,ios,wifi,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,8,ios,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,8,ios,wifi,Very High (>10K),1,0,0.0,0.0
andhra pradesh,8,web,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,8,web,4g,Small (<500),11,0,0.0,0.0
andhra pradesh,8,web,4g,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,8,web,4g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,8,web,5g,Small (<500),3,0,0.0,0.0
andhra pradesh,8,web,5g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,8,web,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,8,web,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,8,web,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,8,web,wifi,High (2K-10K),1,0,0.0,0.0
andhra pradesh,9,android,3g,Small (<500),8,0,0.0,0.0
andhra pradesh,9,android,3g,Medium (500-2K),13,0,0.0,0.0
andhra pradesh,9,android,3g,High (2K-10K),6,0,0.0,0.0
andhra pradesh,9,android,4g,Small (<500),146,0,0.0,0.0
andhra pradesh,9,android,4g,Medium (500-2K),148,1,0.6756756756756757,863.0
andhra pradesh,9,android,4g,High (2K-10K),58,0,0.0,0.0
andhra pradesh,9,android,4g,Very High (>10K),4,0,0.0,0.0
andhra pradesh,9,android,5g,Small (<500),70,0,0.0,0.0
andhra pradesh,9,android,5g,Medium (500-2K),58,0,0.0,0.0
andhra pradesh,9,android,5g,High (2K-10K),28,0,0.0,0.0
andhra pradesh,9,android,5g,Very High (>10K),3,0,0.0,0.0
andhra pradesh,9,android,wifi,Small (<500),26,0,0.0,0.0
andhra pradesh,9,android,wifi,Medium (500-2K),20,0,0.0,0.0
andhra pradesh,9,android,wifi,High (2K-10K),13,1,7.6923076923076925,8252.0
andhra pradesh,9,ios,3g,Small (<500),3,0,0.0,0.0
andhra pradesh,9,ios,3g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,9,ios,3g,High (2K-10K),5,0,0.0,0.0
andhra pradesh,9,ios,4g,Small (<500),49,0,0.0,0.0
andhra pradesh,9,ios,4g,Medium (500-2K),30,0,0.0,0.0
andhra pradesh,9,ios,4g,High (2K-10K),16,0,0.0,0.0
andhra pradesh,9,ios,5g,Small (<500),24,0,0.0,0.0
andhra pradesh,9,ios,5g,Medium (500-2K),23,0,0.0,0.0
andhra pradesh,9,ios,5g,High (2K-10K),8,0,0.0,0.0
andhra pradesh,9,ios,wifi,Small (<500),12,0,0.0,0.0
andhra pradesh,9,ios,wifi,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,9,ios,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,9,web,3g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,9,web,4g,Small (<500),10,0,0.0,0.0
andhra pradesh,9,web,4g,Medium (500-2K),10,0,0.0,0.0
andhra pradesh,9,web,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,9,web,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,9,web,5g,Small (<500),5,0,0.0,0.0
andhra pradesh,9,web,5g,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,9,web,5g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,9,web,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,9,web,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,9,web,wifi,High (2K-10K),2,0,0.0,0.0
andhra pradesh,10,android,3g,Small (<500),22,0,0.0,0.0
andhra pradesh,10,android,3g,Medium (500-2K),20,0,0.0,0.0
andhra pradesh,10,android,3g,High (2K-10K),6,0,0.0,0.0
andhra pradesh,10,android,4g,Small (<500),210,0,0.0,0.0
andhra pradesh,10,android,4g,Medium (500-2K),192,0,0.0,0.0
andhra pradesh,10,android,4g,High (2K-10K),70,0,0.0,0.0
andhra pradesh,10,android,4g,Very High (>10K),5,0,0.0,0.0
andhra pradesh,10,android,5g,Small (<500),102,0,0.0,0.0
andhra pradesh,10,android,5g,Medium (500-2K),75,0,0.0,0.0
andhra pradesh,10,android,5g,High (2K-10K),39,0,0.0,0.0
andhra pradesh,10,android,5g,Very High (>10K),2,0,0.0,0.0
andhra pradesh,10,android,wifi,Small (<500),46,0,0.0,0.0
andhra pradesh,10,android,wifi,Medium (500-2K),25,1,4.0,759.0
andhra pradesh,10,android,wifi,High (2K-10K),22,0,0.0,0.0
andhra pradesh,10,ios,3g,Small (<500),4,0,0.0,0.0
andhra pradesh,10,ios,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,10,ios,3g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,10,ios,4g,Small (<500),61,0,0.0,0.0
andhra pradesh,10,ios,4g,Medium (500-2K),50,0,0.0,0.0
andhra pradesh,10,ios,4g,High (2K-10K),21,0,0.0,0.0
andhra pradesh,10,ios,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,10,ios,5g,Small (<500),13,0,0.0,0.0
andhra pradesh,10,ios,5g,Medium (500-2K),29,0,0.0,0.0
andhra pradesh,10,ios,5g,High (2K-10K),4,0,0.0,0.0
andhra pradesh,10,ios,wifi,Small (<500),12,0,0.0,0.0
andhra pradesh,10,ios,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,10,ios,wifi,Very High (>10K),1,0,0.0,0.0
andhra pradesh,10,web,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,10,web,3g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,10,web,4g,Small (<500),7,0,0.0,0.0
andhra pradesh,10,web,4g,Medium (500-2K),14,0,0.0,0.0
andhra pradesh,10,web,4g,High (2K-10K),5,0,0.0,0.0
andhra pradesh,10,web,5g,Small (<500),3,0,0.0,0.0
andhra pradesh,10,web,5g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,10,web,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,10,web,wifi,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,10,web,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,11,android,3g,Small (<500),13,0,0.0,0.0
andhra pradesh,11,android,3g,Medium (500-2K),23,0,0.0,0.0
andhra pradesh,11,android,3g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,11,android,4g,Small (<500),257,1,0.38910505836575876,323.0
andhra pradesh,11,android,4g,Medium (500-2K),216,0,0.0,0.0
andhra pradesh,11,android,4g,High (2K-10K),128,0,0.0,0.0
andhra pradesh,11,android,4g,Very High (>10K),2,0,0.0,0.0
andhra pradesh,11,android,5g,Small (<500),97,0,0.0,0.0
andhra pradesh,11,android,5g,Medium (500-2K),79,0,0.0,0.0
andhra pradesh,11,android,5g,High (2K-10K),44,0,0.0,0.0
andhra pradesh,11,android,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,11,android,wifi,Small (<500),38,0,0.0,0.0
andhra pradesh,11,android,wifi,Medium (500-2K),28,0,0.0,0.0
andhra pradesh,11,android,wifi,High (2K-10K),25,0,0.0,0.0
andhra pradesh,11,ios,3g,Small (<500),5,0,0.0,0.0
andhra pradesh,11,ios,3g,Medium (500-2K),4,0,0.0,0.0
andhra pradesh,11,ios,3g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,11,ios,4g,Small (<500),61,0,0.0,0.0
andhra pradesh,11,ios,4g,Medium (500-2K),59,0,0.0,0.0
andhra pradesh,11,ios,4g,High (2K-10K),21,0,0.0,0.0
andhra pradesh,11,ios,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,11,ios,5g,Small (<500),30,0,0.0,0.0
andhra pradesh,11,ios,5g,Medium (500-2K),27,0,0.0,0.0
andhra pradesh,11,ios,5g,High (2K-10K),8,0,0.0,0.0
andhra pradesh,11,ios,wifi,Small (<500),7,0,0.0,0.0
andhra pradesh,11,ios,wifi,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,11,ios,wifi,High (2K-10K),6,0,0.0,0.0
andhra pradesh,11,web,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,11,web,4g,Small (<500),27,0,0.0,0.0
andhra pradesh,11,web,4g,Medium (500-2K),19,0,0.0,0.0
andhra pradesh,11,web,4g,High (2K-10K),7,0,0.0,0.0
andhra pradesh,11,web,5g,Small (<500),6,0,0.0,0.0
andhra pradesh,11,web,5g,Medium (500-2K),3,0,0.0,0.0
andhra pradesh,11,web,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,11,web,wifi,Small (<500),3,0,0.0,0.0
andhra pradesh,11,web,wifi,High (2K-10K),1,0,0.0,0.0
andhra pradesh,12,android,3g,Small (<500),20,0,0.0,0.0
andhra pradesh,12,android,3g,Medium (500-2K),18,0,0.0,0.0
andhra pradesh,12,android,3g,High (2K-10K),12,0,0.0,0.0
andhra pradesh,12,android,3g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,12,android,4g,Small (<500),241,1,0.4149377593360996,190.0
andhra pradesh,12,android,4g,Medium (500-2K),229,0,0.0,0.0
andhra pradesh,12,android,4g,High (2K-10K),121,0,0.0,0.0
andhra pradesh,12,android,4g,Very High (>10K),5,0,0.0,0.0
andhra pradesh,12,android,5g,Small (<500),111,0,0.0,0.0
andhra pradesh,12,android,5g,Medium (500-2K),95,1,1.0526315789473684,909.0
andhra pradesh,12,android,5g,High (2K-10K),40,1,2.5,3586.0
andhra pradesh,12,android,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,12,android,wifi,Small (<500),50,0,0.0,0.0
andhra pradesh,12,android,wifi,Medium (500-2K),36,0,0.0,0.0
andhra pradesh,12,android,wifi,High (2K-10K),27,0,0.0,0.0
andhra pradesh,12,android,wifi,Very High (>10K),2,0,0.0,0.0
andhra pradesh,12,ios,3g,Small (<500),6,0,0.0,0.0
andhra pradesh,12,ios,3g,High (2K-10K),7,0,0.0,0.0
andhra pradesh,12,ios,4g,Small (<500),88,0,0.0,0.0
andhra pradesh,12,ios,4g,Medium (500-2K),82,1,1.2195121951219512,1525.0
andhra pradesh,12,ios,4g,High (2K-10K),22,0,0.0,0.0
andhra pradesh,12,ios,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,12,ios,5g,Small (<500),26,0,0.0,0.0
andhra pradesh,12,ios,5g,Medium (500-2K),38,0,0.0,0.0
andhra pradesh,12,ios,5g,High (2K-10K),12,0,0.0,0.0
andhra pradesh,12,ios,wifi,Small (<500),14,0,0.0,0.0
andhra pradesh,12,ios,wifi,Medium (500-2K),11,0,0.0,0.0
andhra pradesh,12,ios,wifi,High (2K-10K),6,0,0.0,0.0
andhra pradesh,12,web,3g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,12,web,4g,Small (<500),17,0,0.0,0.0
andhra pradesh,12,web,4g,Medium (500-2K),15,0,0.0,0.0
andhra pradesh,12,web,4g,High (2K-10K),9,0,0.0,0.0
andhra pradesh,12,web,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,12,web,5g,Small (<500),9,0,0.0,0.0
andhra pradesh,12,web,5g,Medium (500-2K),7,0,0.0,0.0
andhra pradesh,12,web,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,12,web,wifi,Small (<500),3,0,0.0,0.0
